Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_1,WT,OPN4,25.63,25.585,11.16,,,,,,,6.125,,,,
7_1,WT,OPN4,25.54,,,,,,,,,,,,,
7_5,WT,OPN4,27.43,27.065,12.255,,,,,,,7.265,,,,
7_5,WT,OPN4,26.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Pcdh10,21.43,21.415,9.05,8.315,0.76625,0.587943733,-1.700843028,,,3.055,2.88125,0.38875,0.763791092,-1.309258526
5_1,KO,Pcdh10,21.4,,,,,,,,,,,,,
6_8,KO,Pcdh10,22.07,22.05,8.185,,,,,,,3.04,,,,
6_8,KO,Pcdh10,22.03,,,,,,,,,,,,,
7_2,KO,Pcdh10,22.68,22.66,7.805,,,,,,,2.53,,,,
7_2,KO,Pcdh10,22.64,,,,,,,,,,,,,
7_6,KO,Pcdh10,22.15,22.13,8.22,,,,,,,2.9,,,,
7_6,KO,Pcdh10,22.11,,,,,,,,,,,,,
6_4,WT,Pcdh10,22.07,22.01,7.76,7.54875,,,,,,2.615,2.4925,,,
6_4,WT,Pcdh10,21.95,,,,,,,,,,,,,
6_6,WT,Pcdh10,22.07,21.975,7.62,,,,,,,2.565,,,,
6_6,WT,Pcdh10,21.88,,,,,,,,,,,,,
7_1,WT,Pcdh10,22.04,21.895,7.47,,,,,,,2.435,,,,
7_1,WT,Pcdh10,21.75,,,,,,,,,,,,,
7_5,WT,Pcdh10,22.26,22.155,7.345,,,,,,,2.355,,,,
7_5,WT,Pcdh10,22.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Peli2,19.45,19.255,6.89,6.30875,-0.07375,1.052448763,-0.95016502,,,0.895,0.875,-0.45125,1.367224353,-0.731408856
5_1,KO,Peli2,19.06,,,,,,,,,,,,,
6_8,KO,Peli2,20.03,19.75,5.885,,,,,,,0.74,,,,
6_8,KO,Peli2,19.47,,,,,,,,,,,,,
7_2,KO,Peli2,21.31,21,6.145,,,,,,,0.87,,,,
7_2,KO,Peli2,20.69,,,,,,,,,,,,,
7_6,KO,Peli2,20.29,20.225,6.315,,,,,,,0.995,,,,
7_6,KO,Peli2,20.16,,,,,,,,,,,,,
6_4,WT,Peli2,20.84,20.69,6.44,6.3825,,,,,,1.295,1.32625,,,
