Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
9_3,KO,Pgm2I1,19.82,19.955,6.48,,,,,,,1.225,,,,
9_3,KO,Pgm2I1,20.09,,,,,,,,,,,,,
2_1,WT,Pgm2I1,19.38,19.37,6.085,5.96625,,,,,,0.825,0.82875,,,
2_1,WT,Pgm2I1,19.36,,,,,,,,,,,,,
2_3,WT,Pgm2I1,19.53,19.775,6.065,,0.634551304,,,,,0.77,,,,
2_3,WT,Pgm2I1,20.02,,,,18.68714739,,,,,,,,,
3_5,WT,Pgm2I1,20.94,20.92,5.705,,21.22535261,,,,,0.91,,,,
3_5,WT,Pgm2I1,20.9,,,,,,,,,,,,,
9_1,WT,Pgm2I1,19.69,19.76,6.01,,,,,,,0.81,,,,
9_1,WT,Pgm2I1,19.83,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Pla2r1,21.38,21.445,7.22,7.13625,0.35625,0.781192498,-1.280094218,,,2.31,2.19375,0.55125,0.682428593,-1.465354779
1_13,KO,Pla2r1,21.51,,,,,,,,,,,,,
4_1,KO,Pla2r1,21.5,21.5,6.825,,0.340165401,,,,,2.105,,,,
4_1,KO,Pla2r1,21.74,,,,20.6559192,,,,,,,,,
4_4,KO,Pla2r1,21.47,21.46,7.265,,22.0165808,,,,,2.38,,,,
4_4,KO,Pla2r1,21.45,,,,,,,,,,,,,
9_3,KO,Pla2r1,20.71,20.71,7.235,,,,,,,1.98,,,,
9_3,KO,Pla2r1,20.93,,,,,,,,,,,,,
2_1,WT,Pla2r1,20.27,20.34,7.055,6.78,,,,,,1.795,1.6425,,,
2_1,WT,Pla2r1,20.41,,,,,,,,,,,,,
2_3,WT,Pla2r1,20.57,20.64,6.93,,0.379510964,,,,,1.635,,,,
2_3,WT,Pla2r1,20.71,,,,20.01097807,,,,,,,,,
3_5,WT,Pla2r1,21.17,21.295,6.08,,21.52902193,,,,,1.285,,,,
3_5,WT,Pla2r1,21.42,,,,,,,,,,,,,
9_1,WT,Pla2r1,20.81,20.805,7.055,,,,,,,1.855,,,,
9_1,WT,Pla2r1,20.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Plcd1,21.16,21.385,7.16,7.29375,-0.11,1.079228237,-0.926588062,,,2.25,2.35125,0.085,0.942784536,-1.060687741
1_13,KO,Plcd1,21.61,,,,,,,,,,,,,
4_1,KO,Plcd1,21.8,21.83,7.155,,0.340459249,,,,,2.435,,,,
4_1,KO,Plcd1,21.86,,,,20.7553315,,,,,,,,,
4_4,KO,Plcd1,21.54,21.51,7.315,,22.1171685,,,,,2.43,,,,
4_4,KO,Plcd1,21.48,,,,,,,,,,,,,
9_3,KO,Plcd1,20.89,21.02,7.545,,,,,,,2.29,,,,
9_3,KO,Plcd1,21.15,,,,,,,,,,,,,
2_1,WT,Plcd1,20.71,20.735,7.45,7.40375,,,,,,2.19,2.26625,,,
2_1,WT,Plcd1,20.76,,,,,,,,,,,,,
2_3,WT,Plcd1,21.03,21.05,7.34,,0.768169206,,,,,2.045,,,,
2_3,WT,Plcd1,21.07,,,,19.85741159,,,,,,,,,
3_5,WT,Plcd1,22.62,22.605,7.39,,22.93008841,,,,,2.595,,,,
3_5,WT,Plcd1,22.59,,,,,,,,,,,,,
9_1,WT,Plcd1,21.15,21.185,7.435,,,,,,,2.235,,,,
9_1,WT,Plcd1,21.22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Plcxd2,19.84,19.955,5.73,5.30875,0.10375,0.930610906,-1.074562949,,,0.82,0.36625,0.29875,0.812956464,-1.23007817
1_13,KO,Plcxd2,20.07,,,,,,,,,,,,,
4_1,KO,Plcxd2,19.49,19.56,4.885,,0.428866862,,,,,0.165,,,,
4_1,KO,Plcxd2,19.63,,,,18.59351628,,,,,,,,,
4_4,KO,Plcxd2,19.33,19.41,5.215,,20.30898372,,,,,0.33,,,,
4_4,KO,Plcxd2,19.49,,,,,,,,,,,,,
9_3,KO,Plcxd2,18.72,18.88,5.405,,,,,,,0.15,,,,
9_3,KO,Plcxd2,19.04,,,,,,,,,,,,,
2_1,WT,Plcxd2,18.56,18.635,5.35,5.205,,,,,,0.09,0.0675,,,
2_1,WT,Plcxd2,18.71,,,,,,,,,,,,,
2_3,WT,Plcxd2,19.09,19.18,5.47,,0.448011479,,,,,0.175,,,,
2_3,WT,Plcxd2,19.27,,,,18.29897704,,,,,,,,,
3_5,WT,Plcxd2,19.77,19.805,4.59,,20.09102296,,,,,-0.205,,,,
3_5,WT,Plcxd2,19.84,,,,,,,,,,,,,
9_1,WT,Plcxd2,19.18,19.16,5.41,,,,,,,0.21,,,,
9_1,WT,Plcxd2,19.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Podxl2,18.31,18.31,4.085,3.84875,-0.20375,1.151688053,-0.868290678,,,-0.825,-1.09375,-0.00875,1.006083467,-0.993953317
1_13,KO,Podxl2,18.86,,,,,,,,,,,,,
4_1,KO,Podxl2,18.05,18.1,3.425,,0.395907637,,,,,-1.295,,,,
4_1,KO,Podxl2,18.15,,,,17.26818473,,,,,,,,,
4_4,KO,Podxl2,17.96,17.805,3.61,,18.85181527,,,,,-1.275,,,,
4_4,KO,Podxl2,17.65,,,,,,,,,,,,,
9_3,KO,Podxl2,17.66,17.75,4.275,,,,,,,-0.98,,,,
9_3,KO,Podxl2,17.84,,,,,,,,,,,,,
2_1,WT,Podxl2,17.56,17.54,4.255,4.0525,,,,,,-1.005,-1.085,,,
2_1,WT,Podxl2,17.52,,,,,,,,,,,,,
2_3,WT,Podxl2,17.83,17.92,4.21,,0.454933276,,,,,-1.085,,,,
2_3,WT,Podxl2,18.01,,,,17.13263345,,,,,,,,,
3_5,WT,Podxl2,18.68,18.71,3.495,,18.95236655,,,,,-1.3,,,,
3_5,WT,Podxl2,18.74,,,,,,,,,,,,,
9_1,WT,Podxl2,17.99,18,4.25,,,,,,,-0.95,,,,
9_1,WT,Podxl2,18.01,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Ppp1r9a,21.56,21.795,7.57,7.4875,-0.2175,1.162717005,-0.860054507,,,2.66,2.545,-0.0225,1.015718061,-0.984525173
1_13,KO,Ppp1r9a,22.03,,,,,,,,,,,,,
4_1,KO,Ppp1r9a,21.54,21.635,6.96,,0.204520345,,,,,2.24,,,,
4_1,KO,Ppp1r9a,21.73,,,,21.22095931,,,,,,,,,
4_4,KO,Ppp1r9a,21.66,21.685,7.49,,22.03904069,,,,,2.605,,,,
4_4,KO,Ppp1r9a,21.71,,,,,,,,,,,,,
9_3,KO,Ppp1r9a,21.38,21.405,7.93,,,,,,,2.675,,,,
9_3,KO,Ppp1r9a,21.43,,,,,,,,,,,,,
2_1,WT,Ppp1r9a,21.2,21.26,7.975,7.705,,,,,,2.715,2.5675,,,
2_1,WT,Ppp1r9a,21.32,,,,,,,,,,,,,
