Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_5,KO,Insm1,19.09,19.07,10.755,,,,,,,1.145,,,,
7_5,KO,Insm1,19.05,,,,,,,,,,,,,
7_7,KO,Insm1,18.48,18.75,5.69,,,,,,,1.06,,,,
7_7,KO,Insm1,19.02,,,,,,,,,,,,,
5_1,WT,Insm1,18.52,18.495,5.515,8.155,,,,,,0.755,0.95625,,,
5_1,WT,Insm1,18.47,,,,,,,,,,,,,
6_4,WT,Insm1,18.65,18.585,10.7,,,,,,,0.91,,,,
6_4,WT,Insm1,18.52,,,,,,,,,,,,,
7_1,WT,Insm1,18.57,18.56,10.45,,,,,,,0.97,,,,
7_1,WT,Insm1,18.55,,,,,,,,,,,,,
7_2,WT,Insm1,18.49,18.65,5.955,,,,,,,1.19,,,,
7_2,WT,Insm1,18.81,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Lrat,22.29,22.2,12.9,12.62125,0.4775,0.718221129,-1.392328853,,,4.675,4.82625,-0.11875,1.085793686,-0.920985278
5_3,KO,Lrat,22.11,,,,,,,,,,,,,
6_3,KO,Lrat,22.19,22.305,13.545,,,,,,,4.83,,,,
6_3,KO,Lrat,22.42,,,,,,,,,,,,,
7_5,KO,Lrat,23.14,23.075,14.76,,,,,,,5.15,,,,
7_5,KO,Lrat,23.01,,,,,,,,,,,,,
7_7,KO,Lrat,22.24,22.34,9.28,,,,,,,4.65,,,,
7_7,KO,Lrat,22.44,,,,,,,,,,,,,
5_1,WT,Lrat,22.66,22.615,9.635,12.14375,,,,,,4.875,4.945,,,
5_1,WT,Lrat,22.57,,,,,,,,,,,,,
6_4,WT,Lrat,22.57,22.66,14.775,,,,,,,4.985,,,,
6_4,WT,Lrat,22.75,,,,,,,,,,,,,
7_1,WT,Lrat,22.2,22.3,14.19,,,,,,,4.71,,,,
7_1,WT,Lrat,22.4,,,,,,,,,,,,,
7_2,WT,Lrat,22.27,22.67,9.975,,,,,,,5.21,,,,
7_2,WT,Lrat,23.07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Mfap2,21.6,21.65,12.35,12.1925,0.595,0.662044455,-1.510472586,,,4.125,4.3975,-0.00125,1.000866809,-0.999133941
5_3,KO,Mfap2,21.7,,,,,,,,,,,,,
6_3,KO,Mfap2,21.86,21.98,13.22,,,,,,,4.505,,,,
6_3,KO,Mfap2,22.1,,,,,,,,,,,,,
7_5,KO,Mfap2,22.2,22.37,14.055,,,,,,,4.445,,,,
7_5,KO,Mfap2,22.54,,,,,,,,,,,,,
7_7,KO,Mfap2,22.12,22.205,9.145,,,,,,,4.515,,,,
7_7,KO,Mfap2,22.29,,,,,,,,,,,,,
5_1,WT,Mfap2,22.09,22.13,9.15,11.5975,,,,,,4.39,4.39875,,,
5_1,WT,Mfap2,22.17,,,,,,,,,,,,,
6_4,WT,Mfap2,21.88,21.985,14.1,,,,,,,4.31,,,,
6_4,WT,Mfap2,22.09,,,,,,,,,,,,,
7_1,WT,Mfap2,22.16,22.095,13.985,,,,,,,4.505,,,,
7_1,WT,Mfap2,22.03,,,,,,,,,,,,,
7_2,WT,Mfap2,21.66,21.85,9.155,,,,,,,4.39,,,,
7_2,WT,Mfap2,22.04,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Nr2e3,14.98,14.705,5.405,5.145,0.5675,0.674785089,-1.481953315,,,-2.82,-2.65,-0.02875,1.020127869,-0.980269268
5_3,KO,Nr2e3,14.43,,,,,,,,,,,,,
6_3,KO,Nr2e3,14.69,14.735,5.975,,,,,,,-2.74,,,,
6_3,KO,Nr2e3,14.78,,,,,,,,,,,,,
7_5,KO,Nr2e3,15.24,15.31,6.995,,,,,,,-2.615,,,,
7_5,KO,Nr2e3,15.38,,,,,,,,,,,,,
7_7,KO,Nr2e3,15.23,15.265,2.205,,,,,,,-2.425,,,,
7_7,KO,Nr2e3,15.3,,,,,,,,,,,,,
5_1,WT,Nr2e3,14.92,14.9,1.92,4.5775,,,,,,-2.84,-2.62125,,,
5_1,WT,Nr2e3,14.88,,,,,,,,,,,,,
6_4,WT,Nr2e3,15.22,14.995,7.11,,,,,,,-2.68,,,,
6_4,WT,Nr2e3,14.77,,,,,,,,,,,,,
7_1,WT,Nr2e3,15.1,15.07,6.96,,,,,,,-2.52,,,,
7_1,WT,Nr2e3,15.04,,,,,,,,,,,,,
7_2,WT,Nr2e3,14.75,15.015,2.32,,,,,,,-2.445,,,,
7_2,WT,Nr2e3,15.28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Opn4,29.56,29.87,20.57,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,12.345,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5_3,KO,Opn4,30.18,,,,,,,,,,,,,
6_3,KO,Opn4,32.98,32.98,24.22,,,,,,,15.505,,,,
6_3,KO,Opn4,33.18,,,,,,,,,,,,,
